GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Application Manager main Project,com.github.essobedo.appma.exception,ApplicationException,0,9,0,0,0,4,0,2,0,2
Application Manager main Project,com.github.essobedo.appma.exception,TaskInterruptedException,0,3,0,0,0,1,0,1,0,1
Application Manager main Project,com.github.essobedo.appma.core.progress,StatusBar.Progress,6,7,0,0,2,3,1,1,1,1
Application Manager main Project,com.github.essobedo.appma.core.progress,StatusBar,10,83,0,2,3,14,2,2,2,1
Application Manager main Project,com.github.essobedo.appma.core.progress,LogProgress,0,77,3,3,0,13,3,5,0,5
Application Manager main Project,com.github.essobedo.appma.core.config,ConfigurationFactory,45,136,9,11,2,30,7,8,0,5
Application Manager main Project,com.github.essobedo.appma.core.config,ConfigFromProperties,30,132,7,13,0,27,5,8,0,3
Application Manager main Project,com.github.essobedo.appma.task,Task.Event,5,43,0,0,0,4,1,3,1,3
Application Manager main Project,com.github.essobedo.appma.task,TaskProgressFX,62,47,4,0,13,10,10,6,8,6
Application Manager main Project,com.github.essobedo.appma.task,TaskObserver.new Object() {...},3,23,0,0,0,1,0,1,0,1
Application Manager main Project,com.github.essobedo.appma.task,TaskObserver,15,35,3,5,3,12,3,3,0,1
Application Manager main Project,com.github.essobedo.appma.task,TaskProgress,0,12,0,0,0,5,0,2,0,2
Application Manager main Project,com.github.essobedo.appma.task,Task,40,105,0,2,5,33,0,10,0,9
Application Manager main Project,com.github.essobedo.appma.core.io,Folder.DeleteFileVisitor,0,11,0,0,0,5,0,3,0,3
Application Manager main Project,com.github.essobedo.appma.core.io,RootFolder,40,92,2,4,5,18,2,3,0,2
Application Manager main Project,com.github.essobedo.appma.core.io,Folder,0,88,2,2,0,21,2,4,0,4
Application Manager main Project,com.github.essobedo.appma.core.io,Folder.CopyFileVisitor,0,45,0,0,0,8,0,3,0,3
Application Manager main Project,com.github.essobedo.appma.core,DefaultApplicationManager,471,1246,68,82,70,304,56,62,6,37
Application Manager main Project,com.github.essobedo.appma.core,AsyncTaskExecutor,0,15,0,0,0,6,0,3,0,3
Application Manager main Project,com.github.essobedo.appma.core,Launcher,163,97,24,2,40,19,19,2,6,2
Application Manager main Project,com.github.essobedo.appma.core,ApplicationState,9,89,0,0,0,9,2,2,2,2
Application Manager main Project,com.github.essobedo.appma.core,Configuration,45,106,4,10,4,20,4,7,0,4
Application Manager main Project,com.github.essobedo.appma.i18n,Localization,0,65,2,2,0,18,2,5,0,5
Application Manager main Project,com.github.essobedo.appma.i18n,Localization.LocalizationHolder,3,6,0,0,1,1,1,1,1,1
Application Manager main Project,com.github.essobedo.appma.core.util,Classpath,75,121,14,8,23,25,8,9,0,6
Application Manager main Project,com.github.essobedo.appma.core.zip,UnzipTask,7,34,0,0,2,10,0,3,0,3
Application Manager main Project,com.github.essobedo.appma.core.zip,ZipFile,89,89,16,12,4,22,11,6,0,3
